"","address","lat","lng","carpark_type","rate_half_hr","capacity","rate","extracted_address","NearbyTraffic_1984","NearbyTraffic_1985","NearbyTraffic_1986","NearbyTraffic_1987","NearbyTraffic_1988","NearbyTraffic_1989","NearbyTraffic_1990","NearbyTraffic_1991","NearbyTraffic_1992","NearbyTraffic_1993","NearbyTraffic_1994","NearbyTraffic_1995","NearbyTraffic_1996","NearbyTraffic_1997","NearbyTraffic_1998","NearbyTraffic_1999","NearbyTraffic_2000","NearbyTraffic_2001","NearbyTraffic_2002","NearbyTraffic_2003","NearbyTraffic_2004","NearbyTraffic_2005","NearbyTraffic_2006","NearbyTraffic_2007","NearbyTraffic_2008","NearbyTraffic_2009","NearbyTraffic_2010","NearbyTraffic_2011","NearbyTraffic_2012","NearbyTraffic_2013","NearbyTraffic_2014","NearbyTraffic_2015","NearbyTraffic_2016","NearbyTraffic_2017","NearbyTraffic_2018","NearbyTraffic_2019","NearbyTraffic_2020","NearbyTraffic_2021","NearbyTraffic_2022","NearbyTraffic_2023"
"11","7 Norton Avenue",43.678365,-79.443882,"Surface",1.75,64,"1.75","7 Norton Avenue",7018.375,7638.125,8252.3125,7225.125,6991.75,8446,8768.625,7549.75,6285.625,7705.5,9123.5625,8027.375,7209.5,7865.75,7394.5,7109.75,7941.875,7038.75,5349.625,6465,6047.375,7092.75,3487,6586,5200.5,7495.75,5103.375,5848.625,7117,4486.875,3275.75,5583.75,7813.22916666667,3622.5,3334.875,3958.375,3911.86458333333,5469.5,5940.7,3584.0625
"12","14 Fuller Avenue",43.640788,-79.439542,"Surface",1.5,53,"1.50","14 Fuller Avenue",5674.25,4986.375,7357.25,6170.375,12051.625,6212.125,7848.375,9723.5,7126.25,6195.25,9163.25,7225.375,6563.375,9006.25,10872.875,3384.125,4722.125,4343.625,4532.375,4466.125,3232.875,4048.375,4772.875,7981.5,4214.20833333333,4566.1875,6256.5,4437.5,5382.875,6156.625,2820.375,4785.625,4180.375,4566.1875,4257.75,4945.625,4927.92708333333,4223.85416666667,1852,1176
"13","111 Broadview Avenue",43.659179,-79.349774,"Surface",1,92,"1.00","111 Broadview Avenue",6509.5,6538.875,6648.75,6732.125,9058.375,6848.5,6329.25,8476.375,5992.625,6250.25,7127.5,6010.75,5671.375,6225.125,3984.5,5584,4681.75,5560.8125,7514,5082.70833333333,5264.75,4938.25,4204.125,2559.875,5649.375,4318.375,5196.625,4752.625,3647.5,3781.875,3587.75,5349.125,5139.70833333333,3632.375,4657.375,4785.8125,3847.5625,2948.15625,3491.80208333333,4821.125
"14","125 Burnaby Blvd",43.704445,-79.412076,"Surface",1.5,154,"1.50","125 Burnaby Blvd",9405.6875,9897.125,10619,10587.125,11328.75,11201.375,12408,11457.375,9000.375,9868.125,10869.5,10029.9375,10263.125,10229.625,13010.375,8395.625,6769.625,5841.5,5790.5,7849.25,7170,5335.625,4945.625,8537.875,8240.25,6711,6954.5625,7041.75,7534.125,8032.875,8063.25,7410.125,7052.375,7572,3552.375,3572.5,5087.375,3615.04861111111,6285.27083333333,4188.625
"15","85 Lee Avenue",43.6704624,-79.2979613,"Surface",1.5,68,"1.50","85 Lee Avenue",7320.5,7577.875,9345,8515,9725.375,8436.6875,8927.5,8788.0625,9528,8214,9605.10416666667,7326.75,9340.875,7947.75,7866.9375,5573.375,5475.75,4728.0625,6743.6875,6547.625,6675.625,7230.75,1322.125,4587.5,3589.875,7609.9375,6909.375,5046.75,4430.375,7517.625,6617.375,6715.625,5092.9375,5717.75,4092,6658.04166666667,6852.79166666667,5155.20833333333,5004.38541666667,4636
"16","365 Lippincott Street",43.665054,-79.409662,"Surface",2,144,"2.00","365 Lippincott Street",6391.25,8360.3125,9820.375,10267.75,8367.25,8910,10189.125,8767.375,5588.5,6863.125,10314.125,7338.75,6806.75,7340.875,8759.125,5741.125,8492.3125,7186.125,7400.625,5454.5,6691.375,4268.875,3262.75,5558.9375,7768,5892.375,5507.375,7032.625,8699.375,5360.5,7292.875,6371.9375,8210.125,5021.75,4005.875,5082.375,2798.58333333333,2202.625,5859.5625,2684.625
"17","803 Richmond Street West",43.644546,-79.410778,"Surface",2,49,"2.00","803 Richmond Street West",6089.9375,6963.625,7919.875,5860,9325.625,7312.5,8306.625,7334.9375,9402.6875,6552.625,5826.25,6187.125,8304.75,10546.125,6985.8125,3325.4375,5033.75,5497.25,4889.125,4526.25,3243.625,3528.25,5305.75,4679.5,5308.0625,4837.5,5131.375,4687.125,5248.25,3930.375,3941.125,3952.375,7031.42916666667,4271.625,2799.375,4525.375,4495.15625,2592.6875,3327.5625,2453.0625
"18","23 Bedford Park Avenue",43.72677,-79.40433,"Surface",1,42,"1.00","23 Bedford Park Avenue",9905.875,10988.1875,10857.25,10891.625,13943.25,12339.875,11364.5,11491.25,12817.25,12565.875,10732.125,11719.25,10876.25,12029.625,13495.75,4197.75,10419.125,8967.875,11228.75,5836,8108.75,10343.5,9322.75,9964.625,8898.25,9381.125,12019.1875,9781.125,9071,9683.375,9395.9375,6834.75,8979.5,8900.6875,5790,8539.75,7203.875,4739.1875,6275.375,5751.625
"19","265 Durie Street",43.650881,-79.479014,"Surface",1.5,155,"1.50","265 Durie Street",5580.875,7492,10437.4375,9271.125,10114.9375,7002.1875,8407.5,8572.5,7632,6799.375,7068.5,7038.375,7398.6875,7772.625,6476,5265.75,4289.75,7682.25,4900.125,4499.625,5087.875,3739.125,6052.8125,6870.375,5782.8125,5096,4243.25,5536.375,6014.25,7195.125,6793.75,8322,5551.3125,6047.25,5283.375,5286.125,4133.59375,4588.3125,4740.875,3268.625
"20","35 Bellevue Avenue",43.654184,-79.403176,"Surface",2.5,91,"2.50","35 Bellevue Avenue",6858.625,8856.375,8485,8884.625,8346.75,8167.75,8991.5,8580.9375,7888.1875,7129.75,10398.625,7238.75,6098.5,7958.125,6757.5,5771.0625,7982.5625,6349.75,6367.75,5562.25,6073.1875,4747.125,4975.25,3117.25,6267.0625,6225.875,5199.375,5488.375,6880.125,3683.375,5975,6100.75,5715.52291666667,5089.125,2923.375,3766.625,3125.59375,3693.3125,5474.17708333333,1023.375
