"","TS_Input.address","TS_Input.lat","TS_Input.lng","TS_Input.NearbyTraffic_2022","TS_Output_2024","EV_nearbyTraffic_2022","EV_nearbyTraffic_2024"
"179","406 Oakwood Avenue",43.688069,-79.439317,4427.125,3027,133,161
"180","433 Rogers Road",43.682507,-79.463983,6329.125,2962,190,158
"181","1 Shortt Street",43.695951,-79.451795,4061.75,4484,122,239
"182","1531 Eglinton Avenue West",43.697588,-79.440712,3691.375,4972,111,265
"183","2700 Eglinton Avenue West",43.690203,-79.477919,5194.375,6251,156,333
"184","2700 Eglinton Avenue West",43.690792,-79.478585,5194.375,6260,156,334
"185","2053 Dufferin Street",43.6866,-79.446383,4855.45,3909,146,208
"186","2623 Eglinton Avenue West",43.689981,-79.475222,5893,6457,177,344
"187","4 Rosemount Avenue",43.7013911,-79.5138189,4789.625,5433,144,290
"188","101 Grangeway Avenue",43.775378,-79.250093,5924.625,10465,178,558
"189","197 Blantyre Avenue",43.68177,-79.281496,3949.59375,5446,118,290
"190","1 Brimley Road (Bluffer's Park)",43.70664,-79.235437,7862.875,6710,236,358
"191","1 Brimley Road (Bluffer's Park)",43.707446,-79.234632,7862.875,7403,236,395
"192","1 Brimley Road (Bluffer's Park)",43.712603,-79.230051,8473.625,5583,254,298
"193","284 Milner Avenue",43.789429,-79.238387,5637.875,6530,169,348
"194","1530 Markham Road - minor capital repairs onsite",43.789507,-79.237915,5637.875,6716,169,358
"195","1940 Lawrence Avenue East",43.744476,-79.299188,8957.9375,7993,269,426
"196","100 Grangeway Avenue",43.77458,-79.251359,6545,10465,196,558
"197","158 Borough Drive",43.772181,-79.256377,8998.9375,8945,270,477
"198","Kipling South Lot - 400 Munster Avenue",43.636572,-79.534117,7529.875,7442,226,397
"199","Islington Main Lot - 3330 Bloor Street West",43.644181,-79.526188,7448.625,7177,223,383
"200","Islington Lomond Lot - 20 Lomond Drive",43.646774,-79.522862,7423.72916666667,7148,223,381
"201","Keele Lot - 400 Indian Road",43.655818,-79.457159,6018.21875,4910,181,262
"202","Wilson South Lot - 30 Tippett Road",43.733662,-79.447117,9384.54166666667,7167,282,382
"203","Wilson Main Lot - 50 Wilson Heights Blvd",43.736244,-79.449177,8115.66666666667,7475,243,398
"204","Finch West Lot - 18 Hendon Ave",43.782032,-79.416368,2861.75,7968,86,425
"205","Finch East - 814 Willowdale Ave - partial closure, reduced spaces",43.782319,-79.415907,4672.375,7919,140,422
"206","Leslie Lot - 2760 Old Leslie Street",43.770058,-79.367484,7895.875,3585,237,191
"207","Don Mills Lot - 1800 Sheppard Ave East",43.775815,-79.346707,6982.6875,8169,209,435
"208","Ellesmere Lot - Near 1050 Ellesmere Road - closed for construction until November 2019",43.766793,-79.276394,11275.8125,9776,338,521
"209","Lawrence East Lot - Near 2450 Lawrence Ave East",43.750477,-79.270269,8714.4375,8683,261,463
"210","Kennedy South Lot -155 Transway Cres",43.731844,-79.263471,4691.75,7393,141,394
"211","Warden North Lot - 705 Warden Ave",43.715522,-79.28131,6498,5316,195,283
"212","Warden South Lot - 701 Warden Ave",43.710032,-79.27979,5275.5,5669,158,302
"213","Victoria Main Lot - 777 Victoria Park Avenue",43.693563,-79.289052,5354.70833333333,5483,161,292
"214","Kennedy North Service Road - 2450 Eglinton Ave East",43.734117,-79.263977,5190.25,7200,156,384
"215","Downsview Lot - 415 William R Allen Rd",43.747011,-79.459006,5115.75,7510,153,400
"216","Transit Road Lot - 25 Transit Rd",43.733843,-79.452436,9081.10416666667,7463,272,398
"217","22 Fieldway Rd",43.642473,-79.52754,7448.625,7130,223,380
"218","3950 Keele Street",43.7655225,-79.491758,5536.3125,7114,166,379
"219","2800 Steeles Ave W.",43.7778992,-79.5111635,6498.625,8114,195,432
"220","7332 Jane St",43.7822568,-79.521934,9147.5,7859,274,419
