"","address","distance","n_business","time_spent","n_customers","traffic_volume","convert","score"
"152","695 Lansdowne Avenue",0.0237848846808767,8,0.723871428432915,0.671428571428571,0.36094674556213,0,4.0957676926371e-06
"153","20 Eaton Avenue",0.0137225369166882,8,0.427047627991568,0.742857142857143,0.417159763313609,0,4.09499205228037e-06
"154","995 Eglinton Avenue West",0.0580847619766211,8,0.521445832780172,0.796428571428571,0.372781065088757,0,4.09483549565369e-06
"155","265 Durie Street",0.0106679802296939,8,0.330760701838385,0.807142857142857,0.420118343195266,0,4.09407991396591e-06
"156","737 Rhodes Avenue",0.0232364258919411,8,0.540784131648088,0.814285714285714,0.402366863905325,0,4.04482172559112e-06
"157","30 Alvin Avenue",0.0185021643177617,8,0.478620501607989,0.857142857142857,0.402366863905325,0,3.99982854877852e-06
"158","31 Langford Avenue",0.0128343023356878,8,0.679454266877541,0.796428571428571,0.405325443786982,0,3.97408024428176e-06
"159","146 Harrison Street",0.0240090405876964,8,0.664207993274019,0.817857142857143,0.349112426035503,0,3.9721684631425e-06
"160","35 Erindale Avenue",0.0121591958537238,8,0.473647485740304,0.828571428571429,0.36094674556213,1,3.97200318522494e-06
"161","1 Shortt Street",0.0562480030648793,8,0.293211949475964,0.853571428571429,0.36094674556213,0,3.96490916189316e-06
"162","111 Broadview Avenue",0.058579237240205,8,0.251447923590074,0.671428571428571,0.310650887573964,0,3.93074210042736e-06
"163","838 Broadview Ave.",0.027481592678844,8,0.519361777491232,0.807142857142857,0.337278106508876,0,3.88315093969648e-06
"164","1169 Weston Road",0.158284454867768,8,0.618301537044809,0.546428571428571,0.20414201183432,0,3.85831186361628e-06
"165","271 Front Street East",0.0331163310852242,8,0.250000535888334,0.917857142857143,0.372781065088757,0,3.85754209556848e-06
"166","185 Queens Quay East",0.051699120346017,8,0.492262159412141,0.910714285714286,0.310650887573964,0,3.85749790036255e-06
"167","912 Eglinton Avenue West",0.0723723351749302,8,0.490888823060487,0.925,0.289940828402367,0,3.85710566365373e-06
"168","406 Oakwood Avenue",0.00961367420146522,8,0.409460138444293,0.735714285714286,0.393491124260355,0,3.83100198141107e-06
"169","670 Pape Avenue",0.0143709091306997,8,0.455243771872753,0.796428571428571,0.387573964497041,0,3.81997836086723e-06
"170","11 Kenwood Avenue",0.0251300259972822,8,0.555299521331653,0.85,0.331360946745562,0,3.79512391002184e-06
"171","268 Rhodes Ave",0.0526686425908714,8,0.292642474155383,0.810714285714286,0.346153846153846,0,3.79030403617739e-06
"172","2201 Dundas Street West",0.012118286602123,8,0.464926632556145,0.864285714285714,0.334319526627219,0,3.68810020126588e-06
"173","15 Price St",0.0137083395537594,8,0.319702433667951,0.875,0.372781065088757,0,3.67309364867337e-06
"174","31A Parliament Street",0.0276499508919866,8,0.274615664867339,0.85,0.307692307692308,0,3.56997938489742e-06
"175","242 Danforth Avenue",0.012015596336634,8,0.213486557047909,0.839285714285714,0.322485207100592,0,3.56102143983844e-06
"176","573 Gerrard Street East",0.00997402567306349,8,0.40392979653813,0.746428571428571,0.322485207100592,0,3.53928733089396e-06
"177","376 Clinton Street",0.0137997101200797,8,0.3357692137988,0.875,0.357988165680473,0,3.53337418530243e-06
"178","300 Remembrance Drive ",0.0790916635051966,8,0.695851819292845,0.889285714285714,0.251479289940828,0,3.51918512754797e-06
"179","18 Ossington Avenue",0.0157566339146721,8,0.408974813703096,0.882142857142857,0.301775147928994,0,3.38037299568878e-06
"180","800 Fleet Street",0.0598478078703912,8,0.643867249263551,0.864285714285714,0.254437869822485,0,3.34581569012141e-06
"181","9 Bonar Place",0.0393250074836252,8,0.538438592807548,0.828571428571429,0.304733727810651,0,3.26984372714929e-06
"182","1325 Queen Street West",0.0116455341340044,8,0.307896833325273,0.875,0.328402366863905,0,3.23172581291179e-06
"183","25 Ferrier Avenue",0.0289276700000779,8,0.600223775525965,0.814285714285714,0.272189349112426,0,3.20562506858402e-06
"184","373 Front Street East",0.0227628533692124,8,0.262694756830933,0.853571428571429,0.27810650887574,0,3.20298856844407e-06
"185","1670 Bayview Ave",0.0132946573927265,8,0.325369839500725,0.657142857142857,0.310650887573964,0,3.07869325637469e-06
"186","1445 Bathurst Street",0.0142798984494887,8,0.664278622941946,0.717857142857143,0.307692307692308,0,3.05993916320335e-06
"187","653 Gerrard Street East",0.00349750878139605,8,0.322925871100788,0.721428571428571,0.316568047337278,0,3.04181886286381e-06
"188","44 Parliament Street",0.0308212439940307,8,0.274615664867339,0.85,0.28698224852071,0,3.02032080533183e-06
"189","136 Wineva Ave.",0.0156175155057352,8,0.507072789867421,0.832142857142857,0.301775147928994,0,3.01641639381019e-06
"190","803 Richmond Street West",0.0191238161610525,8,0.611469645650245,0.814285714285714,0.29585798816568,0,2.99350422294326e-06
"191","1503 Bayview Avenue",0.0100859596715584,8,0.598285748721423,0.846428571428571,0.304733727810651,0,2.99196350709229e-06
"192","1155 King Street West",0.0249615815733496,8,0.411122626683939,0.796428571428571,0.254437869822485,0,2.97442465451771e-06
"193","136 Broadview Avenue",0.0514587661879058,8,0.251447923590074,0.671428571428571,0.227810650887574,0,2.97304033795422e-06
"194","110 Dovercourt Road",0.0175539605887901,8,0.499838655898363,0.835714285714286,0.289940828402367,0,2.92234959840171e-06
"195","1A Mould Avenue",0.0276719821098135,8,0.377592755256835,0.778571428571429,0.245562130177515,0,2.90878982038977e-06
"196","14 Arundel Avenue",0.0158756960999571,8,0.511851576765592,0.839285714285714,0.28698224852071,1,2.87828224907066e-06
"197","9 Salem Avenue",0.00682544058147823,8,0.506573863997605,0.817857142857143,0.263313609467456,0,2.87584047355621e-06
"198","18 Ferrier Avenue",0.0303194137316936,8,0.534348181780386,0.817857142857143,0.272189349112426,0,2.87496371730688e-06
"199","545 Lake Shore Boulevard West",0.0449037659164386,8,0.55172813608895,0.860714285714286,0.224852071005917,0,2.87176087151714e-06
"200","1624 Queen Street West",0.0152147337945307,8,0.617855921804017,0.910714285714286,0.269230769230769,0,2.70329524692226e-06
"201","3354 Dundas Street West",0.0311568625245321,8,0.3820480881173,0.757142857142857,0.251479289940828,0,2.68609965508945e-06
"202","745 Ossington Avenue, 16 Carling Avenue",0.0175428473728339,8,0.261383036014546,0.839285714285714,0.233727810650888,0,2.67497175262452e-06
"203","15 Denison Avenue",0.0214755427168295,8,0.276124611800174,1,0.257396449704142,0,2.65032606806338e-06
"204","646 St. Clair Avenue West",0.0206441550520552,8,0.510902555049727,0.942857142857143,0.245562130177515,0,2.52995451820492e-06
"205","789 St. Clair Avenue West",0.00612147720984512,8,0.594745517269041,0.814285714285714,0.22189349112426,0,2.42739683282767e-06
"206","34 Hanna Avenue",0.0306348071092744,8,0.615010816666272,0.828571428571429,0.189349112426035,0,2.34190006671223e-06
"207","7 Bartlett Avenue",0.00631135287456028,8,0.521646312112185,0.660714285714286,0.239644970414201,0,2.33750420599142e-06
"208","51 Aberdeen Avenue",0.0120123343239274,8,0.570608316394065,0.817857142857143,0.230769230769231,0,2.30733213911385e-06
"209","117 Hammersmith Avenue",0.0156930848602889,8,0.337692474375389,0.839285714285714,0.22189349112426,1,2.25796032899293e-06
"210","287 Rushton Road",0.0176651713234209,8,0.652646642269971,0.846428571428571,0.171597633136095,0,1.79870391436309e-06
"211","700 St. Clair Ave West",0.0153016443441982,8,0.761752928570606,0.867857142857143,0.171597633136095,0,1.7762415755989e-06
"212","14 Fuller Avenue",0.00925403058164316,8,0.514821622442399,0.796428571428571,0.165680473372781,0,1.66253151494062e-06
