"","X","id","address","lat","lng","capacity","Convert","n_business","distance","n_customers","time_spent","traffic_volume"
"47",47,143,"265 Willard Avenue",43.650431,-79.481771,88,0,20,0.000672539608001298,30.05,1.35100070762723,141
"48",48,144,"376 Clinton Street",43.664441,-79.41758,33,0,20,0.00101315631655487,35.55,1.57687212404541,121
"49",49,146,"573 Gerrard Street East",43.665202,-79.353164,37,0,20,0.000753818444841866,33.05,1.63398004491046,109
"50",50,149,"12 Woodycrest Avenue",43.68035,-79.342339,35,0,20,0.0013151603197536,28.7,1.12726215628881,137
"51",51,152,"25 Glenforest Road",43.730266,-79.402734,26,0,20,0.00126971651971285,32.8,2.63951144078574,157
"52",52,155,"995 Eglinton Avenue West",43.699612,-79.431131,33,0,20,0.00120663185079253,32.05,1.67388725233774,126
"53",53,156,"18 Ferrier Avenue",43.678945,-79.348798,23,0,20,0.000772277468630452,35.85,1.8941589261203,92
"54",54,158,"1325 Queen Street West",43.64095,-79.433856,32,0,20,0.000668968964260864,33.8,2.96440098797873,111
"55",55,164,"453 Spadina Road",43.689543,-79.412946,55,0,20,0.00425830640340716,29.25,2.60662175520713,163
"56",56,167,"18 Ossington Avenue",43.644655,-79.419286,20,0,20,0.000811771606845042,29.65,2.64611739520289,102
"57",57,168,"146 Harrison Street",43.650423,-79.424404,79,0,20,0.00132825461374765,32.05,1.74243802136525,118
"58",58,170,"117 Hammersmith Avenue",43.671707,-79.294358,30,1,20,0.00127331756415949,29.4,1.44205828556855,75
"59",59,173,"737 Rhodes Avenue",43.682926,-79.324476,24,0,20,0.00101099086099001,28.45,1.83808642431249,136
"60",60,174,"151 Hiawatha Road",43.672598,-79.322941,50,0,20,0.00435545756523803,30.8,1.23782940078837,125
"61",61,179,"653 Gerrard Street East",43.665784,-79.350195,30,0,20,0.000514841875849938,24.3,1.16878323368036,107
"62",62,180,"268 Rhodes Ave",43.672047,-79.320366,38,0,20,0.00380140561689238,31.3,1.31495817705802,117
"63",63,181,"1155 King Street West",43.637863,-79.424011,269,0,20,0.00198594281168782,29.8,0.901345575649384,86
"64",64,183,"166 Woodbine Ave",43.668252,-79.306226,21,1,20,0.00289470799127541,30.15,1.8290297734628,177
"65",65,184,"192 Boardwalk Dr",43.668004,-79.307384,24,0,20,0.00397513115795899,29.05,1.49397025503021,177
"66",66,185,"116 Joseph Duggan Rd",43.667724,-79.308522,24,0,20,0.00430935463329728,25.2,1.45368346425358,177
"67",67,186,"118 Sarah Ashbridge Ave",43.667445,-79.309487,24,0,20,0.00405093984553884,23.6,1.59449137452385,177
"68",68,187,"116 Winners Circle",43.667107,-79.31074,10,0,20,0.00321626318144975,25.45,1.2768508883287,163
"69",69,188,"157 Beatrice Street",43.654669,-79.416411,18,0,20,0.000462246386322084,34.6,1.89593259189957,131
"70",70,193,"1675 Lakeshore Blvd. E. (Parks)",43.662417,-79.311188,292,0,20,0.00535277747116364,26.45,1.29200123845412,172
"71",71,194,"20 Ashbridges Bay Park Road (Parks)",43.660056,-79.311365,270,0,20,0.00733799847498002,25.95,1.30395873965167,172
"72",72,195,"15 Price St",43.679814,-79.390007,71,0,20,0.00137795443713781,30.9,2.06900366461061,126
"73",73,200,"1167 Eastern Avenue",43.665986,-79.313049,66,0,20,0.0024622363874604,26.45,1.29200123845412,163
"74",74,202,"1141 Eastern Avenue",43.66566,-79.314079,18,0,20,0.00249460683550134,24.5,1.29225469948882,161
"75",75,204,"1117 Dundas Street West",43.649267,-79.420135,37,0,20,0.000365513769449535,36.4,2.40555119835692,144
"76",76,205,"465 Huron Street",43.667778,-79.401648,15,0,20,0.00212943560098841,29.8,0.951433855839676,178
"77",77,206,"2001 Lake Shore Blvd. West (Parks)",43.634103,-79.469036,185,0,20,0.0168487472729764,27.8,1.79182595911511,131
"78",78,207,"2001 Lake Shore Blvd. West (Parks)",43.637123,-79.462266,187,0,20,0.0150528686748161,26.65,1.86383836436499,105
"79",79,208,"1575 Lake Shore Blvd. W. (Parks)",43.637473,-79.451301,193,0,20,0.00546033774808576,26.45,2.31241147559827,141
