"","Category","Operating.Name","city","Zip","Street","Address","lat","long","lamda","mu","qCustomer","tCustomer"
"28","RETAIL STORE (FOOD)","HAPPY CONVENIENCE","TORONTO, ON","M4A 2M2","VICTORIA PARK AVE","1468 VICTORIA PARK AVE,TORONTO, ON,M4A 2M2",43.7224852,-79.3022676,25,1,28,0.0399314914830029
"29","PERSONAL SERVICES SETTINGS","SALON PALAIS","TORONTO, ON","M4A 2M2","VICTORIA PARK AVE","1468 VICTORIA PARK AVE,TORONTO, ON,M4A 2M2",43.7224852,-79.3022676,15,0.5,16,0.93351583275944
"30","PERSONAL SERVICES SETTINGS","GLAMOUROUS YOU","TORONTO, ON","M4A 2M2","VICTORIA PARK AVE","1468 VICTORIA PARK AVE,TORONTO, ON,M4A 2M2",43.7224852,-79.3022676,15,0.5,11,0.774469958901841
"31","PERSONAL SERVICES SETTINGS","PNC NAILS & SPA","TORONTO, ON","M4A 2M2","VICTORIA PARK AVE","1468 VICTORIA PARK AVE,TORONTO, ON,M4A 2M2",43.7224852,-79.3022676,15,0.5,11,5.28318864454455
"32","LAUNDRY","AZIZS DRY CLEANERS AND REPAIRS","TORONTO, ON","M4A 1J8","EGLINTON AVE E","1733 EGLINTON AVE E,TORONTO, ON,M4A 1J8",43.7255366,-79.3128758,5,0.25,7,6.49910540845165
"33","LAUNDRY","WASH 'N' DRY COIN LAUNDRY","TORONTO, ON","M4A 1W5","O'CONNOR DR","1677 O'CONNOR DR,TORONTO, ON,M4A 1W5",43.7168685,-79.3046099,5,0.25,5,14.6525332238242
"34","VAPOUR PRODUCT RETAILER","SAK'S VAPE SHOP","TORONTO, ON","M4A 1W5","O'CONNOR DR","1677 O'CONNOR DR,TORONTO, ON,M4A 1W5",43.7168685,-79.3046099,10,0.5,6,2.61870172238889
"35","PUBLIC GARAGE","GOLDEN MILE CHRYSLER DODGE JEEP RAM","TORONTO, ON","M4A 1J8","EGLINTON AVE E","1743 EGLINTON AVE E,TORONTO, ON,M4A 1J8",43.7252794,-79.309752,20,2,17,0.0652596928823607
"36","PUBLIC GARAGE","CANADIAN TIRE GAS+","TORONTO, ON","M4A 1W7","O'CONNOR DR","1780 O'CONNOR DR,TORONTO, ON,M4A 1W7",43.7191932,-79.30459199,20,2,24,0.289305931422859
"37","PUBLIC HALL","JJ BEST WESTERN BANQUET HALL","TORONTO, ON","M4A 2M2","VICTORIA PARK AVE","1468 VICTORIA PARK AVE,TORONTO, ON,M4A 2M2",43.7224852,-79.3022676,15,1,19,1.35326368543775
"38","EATING ESTABLISHMENT","SULTAN OF SAMOSAS","TORONTO, ON","M4A 1W5","O'CONNOR DR","1677 O'CONNOR DR,TORONTO, ON,M4A 1W5",43.7168685,-79.3046099,45,0.5,56,0.134534580633044
"39","EATING ESTABLISHMENT","PIZZA NOVA","TORONTO, ON","M4A 1J8","EGLINTON AVE E","1733 EGLINTON AVE E,TORONTO, ON,M4A 1J8",43.7255366,-79.3128758,45,0.5,44,3.33999518060971
"40","EATING ESTABLISHMENT","SUBWAY","TORONTO, ON","M4A 1W7","O'CONNOR DR","1888 O'CONNOR DR,TORONTO, ON,M4A 1W7",43.7228868,-79.3031677,45,0.5,36,2.56578779025915
"41","EATING ESTABLISHMENT","TIM HORTON'S","TORONTO, ON","M4A 1J8","EGLINTON AVE E","1733 EGLINTON AVE E,TORONTO, ON,M4A 1J8",43.7255366,-79.3128758,45,0.5,37,2.12902983123967
