"","id","address","lat","lng","capacity","Convert"
"87","220","789 St. Clair Avenue West",43.680738,-79.429629,18,0
"88","223","1501 Yonge Street",43.6892603924517,-79.3942691134918,37,0
"89","224","34 Hanna Avenue",43.638242,-79.419812,184,0
"90","225","80 Clinton Street",43.656346,-79.414555,25,0
"91","226","646 St. Clair Avenue West",43.682103,-79.4242,18,0
"92","227","105 Spadina Avenue",43.64668,-79.395233,14,0
"93","228","11 Kenwood Avenue",43.68298,-79.422065,25,0
"94","229","110 Dovercourt Road",43.64384,-79.422762,8,0
"95","230","31A Parliament Street",43.649553,-79.361694,230,0
"96","231","19 Spadina Road",43.667974,-79.404218,65,1
"97","233","44 Parliament Street",43.650361,-79.362445,120,0
"98","235","2201 Dundas Street West",43.653388,-79.451323,10,0
"99","238","9 Madison Ave.",43.667558,-79.4028,38,0
"100","240","700 St. Clair Ave West",43.681863,-79.42654,18,0
"101","241","9 Bonar Place",43.6527778,-79.4338219,34,0
"102","243","115 Unwin Avenue",43.641425,-79.341888,123,0
"103","244","1439 Danforth Avenue",43.682646,-79.326321,20,0
"104","246","31 Blackthorn Ave",43.6754575,-79.4582834,37,0
"105","248","136 Broadview Avenue",43.659822,-79.350373,22,0
"106","249","1670 Bayview Ave",43.7074,-79.376543,33,0
"107","251","201 Claremont Street",43.651657,-79.41125,43,0
"108","252","154 Westmount Avenue",43.678907,-79.442248,14,0
"109","256","1624 Queen Street West",43.639526,-79.442441,33,0
"110","259","4 Spadina Road",43.666878,-79.404116,51,0
"111","260","94 Northcliffe Blvd.",43.6778094174964,-79.4406608171272,13,0
"112","263","130 Elizabeth Street - Toronto Coach Terminal",43.6556316577341,-79.3857854604721,27,0
"113","266","250 Fort York Blvd. ",43.637208258929,-79.406461027578,49,0
"114","268","271 Front Street East",43.651254,-79.362971,83,0
"115","269","1010 Yonge St.",43.675942,-79.389439,48,0
"116","271","800 Fleet Street",43.636821,-79.409705,94,0
"117","277","242 Danforth Avenue",43.6770516151071,-79.3548725310048,19,0
"118","279","287 Rushton Road",43.681835,-79.4277031,16,0
"119","282","838 Broadview Ave.",43.678499963983,-79.3588725706043,11,0
"120","287","1091 Eastern Avenue",43.664603,-79.318234,45,0
"121","288","292 Brunswick Avenue",43.665368970093,-79.4076361251659,19,0
"122","289","373 Front Street East",43.6521902325786,-79.3594207332046,450,0
"123","300","185 Queens Quay East",43.6443439857175,-79.3662570749035,83,0
"124","302","545 Lake Shore Boulevard West",43.6364562,-79.3986913,110,0
"125","303","136 Wineva Ave.",43.671253953447,-79.2959578153443,28,0
"126","400","10 Kingsdale Avenue",43.770373,-79.41257,52,0
"127","401","246 Brooke Avenue",43.733158,-79.420295,97,0
"128","402","10 Empress Avenue",43.769459,-79.412484,68,0
"129","403","10 Harlandale Avenue",43.762168,-79.412441,112,0
"130","410","180 Beecroft Road",43.767569,-79.416143,173,0
"131","411","1880 Avenue Road",43.732182,-79.419576,32,0
"132","412","11 Finch Avenue West",43.779321,-79.416572,62,0
"133","413","4576 Yonge Street",43.756023,-79.410403,17,0
"134","414","3885 Yonge Street",43.741786,-79.40595,129,0
"135","418","68 Sheppard Avenue West",43.76082,-79.414662,34,0
"136","419","5667 Yonge Street",43.781482,-79.415703,23,0
"137","424","2170 Bayview avenue",43.723875,-79.379571,69,0
"138","500","7 Jackson Avenue",43.6483334,-79.5090384,40,0
"139","501","11 Grenview Blvd. N.",43.648738,-79.507853,83,0
"140","502","342 Prince Edward Drive N.",43.6488534,-79.5055311,43,0
"141","503","12 Willingdon Blvd. - partial construction, reduced spaces",43.648389,-79.510632,65,0
"142","504","9 Willingdon Blvd.",43.6481868,-79.5102001,116,0
"143","505","934 Royal York Road",43.646766,-79.511318,11,0
"144","506","140 Fifth Street",43.60169,-79.503422,53,0
"145","507","66 Third Street",43.601216,-79.500697,24,0
"146","508","128 Eighth Street",43.600906,-79.506769,45,0
"147","509","105 Fourth Street",43.600781,-79.501415,22,0
"148","510","3239 Lake Shore Boulevard West",43.5969875841121,-79.5217088637543,22,0
"149","511","120 Sixth Street",43.600152,-79.50399,54,0
"150","512","3220 Bloor Street West",43.645959,-79.518067,69,0
"151","513","575 Royal York Road",43.626997,-79.502724,28,0
"152","514","139 ISLINGTON AVE.",43.601317,-79.50531,11,0
"153","516","WOOLGAR LANEWAY REAR OF 1124 THE QUEENSWAY",43.623355,-79.519,11,0
"154","517","15 Primrose Avenue",43.614299,-79.489882,23,0
"155","519","5 Dayton Avenue",43.625584,-79.503551,15,0
"156","520","20 Royalavon Crescent",43.645253,-79.532733,62,0
"157","521","7 Monkton Avenue",43.644336,-79.521886,25,0
"158","522","2195 Lake shore Blvd West (Parks)",43.6227739895514,-79.4767338220902,228,0
"159","523","2225 Lake shore Blvd West (Parks)",43.6200300180063,-79.4806666413864,80,0
"160","524","2225 Lake shore Blvd West (Parks)",43.6196410632487,-79.4794703761658,144,0
"161","525","2225 Lake shore Blvd West (Parks)",43.616982,-79.477247,28,0
"162","526","2225 Lake shore Blvd West (Parks)",43.61478,-79.478059,22,0
"163","527","2225 Lake shore Blvd West (Parks)",43.613359,-79.479926,10,0
"164","528","5 Colonel Samuel Smith Park Drive",43.5978864295698,-79.5211193809232,52,0
"165","529","65 Colonel Samuel Smith Park Drive",43.593757,-79.516468,210,0
"166","532","14 Barkwin Dr.",43.738381,-79.5652828,23,0
"167","533","2300 Lake shore Boulevard West",43.6184744,-79.4867386,23,1
"168","534","15 Marine Parade Drive",43.6267898,-79.4767453,14,0
"169","600","550 Mortimer Avenue",43.6905916,-79.3275032,20,0
"170","602","1503 Bayview Avenue",43.703909,-79.374332,25,0
"171","651","1169 Weston Road",43.687441,-79.4903,47,0
"172","652","301 Scott Road",43.690343,-79.472383,14,0
"173","653","17 Riverview Gardens",43.649119,-79.486397,113,0
"174","654","16 Riverview Gardens",43.648894,-79.486663,54,0
"175","656","1A Mould Avenue",43.668423,-79.486953,7,0
"176","657","271A Scarlett Road",43.67789,-79.506555,11,0
"177","658","2054 Dufferin Street",43.686611,-79.446806,94,0
"178","659","341 Oakwood Avenue",43.686479,-79.43819,22,0
"179","660","406 Oakwood Avenue",43.688069,-79.439317,19,0
"180","661","433 Rogers Road",43.682507,-79.463983,28,0
"181","663","1 Shortt Street",43.695951,-79.451795,130,0
"182","667","1531 Eglinton Avenue West",43.697588,-79.440712,23,0
