"","Category","Operating.Name","city","Zip","Street","Address","lat","long"
"32","DRIVING SCHOOL OPERATOR (B)","TORONTO CENTRAL DRIVING SCHOOL","TORONTO, ON","M5T 3B3","SPADINA AVE","222 SPADINA AVE,TORONTO, ON,M5T 3B3",43.6509933,-79.3977969
"33","DRIVING SCHOOL OPERATOR (B)","CHUNGHWA DRIVING SCHOOL","TORONTO, ON","M5T 3A5","SPADINA AVE","280 SPADINA AVE,TORONTO, ON,M5T 3A5",43.6526523,-79.3985239
"34","DRIVE-SELF RENTAL OWNER","AVISCAR","TORONTO, ON","M5J 2S1","BAY ST","161 BAY ST,TORONTO, ON,M5J 2S1",43.6469242,-79.3786575
"35","DRIVE-SELF RENTAL OWNER","BUDGETCAR","TORONTO, ON","M5T 1S2","COLLEGE ST","333 COLLEGE ST,TORONTO, ON,M5T 1S2",43.6573081333333,-79.4025997333333
"36","DRIVE-SELF RENTAL OWNER","DOLLAR THRIFTY AUTOMOTIVE GROUP CANADA","TORONTO, ON","M5V 3B7","FRONT ST W","330 FRONT ST W,TORONTO, ON,M5V 3B7",43.6439711,-79.3907954
"37","DRIVE-SELF RENTAL OWNER","ENTERPRISE RENT-A-CAR/ALAMO","TORONTO, ON","M5J 2T3","BAY ST","181 BAY ST,TORONTO, ON,M5J 2T3",43.6465062,-79.3786735
"38","DRIVE-SELF RENTAL OWNER","ENTERPRISE RENT-A-CAR","TORONTO, ON","M5A 2B7","REGENT PARK BLVD","55/65 REGENT PARK BLVD,TORONTO, ON,M5A 2B7",43.6596929,-79.3615221
"39","DRIVE-SELF RENTAL OWNER","BUDGET","TORONTO, ON","M5J 2S1","BAY ST","161 BAY ST,TORONTO, ON,M5J 2S1",43.6469242,-79.3786575
"40","DRIVE-SELF RENTAL OWNER","HERTZ CAR RENTAL","TORONTO, ON","M5J 2S1","BAY ST","161 BAY ST,TORONTO, ON,M5J 2S1",43.6469242,-79.3786575
"41","DRIVE-SELF RENTAL OWNER","ENTERPRISE RENT-A-CAR","TORONTO, ON","M5A 1A4","POLSON ST","31 POLSON ST,TORONTO, ON,M5A 1A4",43.6412314,-79.354898
"42","DRIVE-SELF RENTAL OWNER","SIXT RENT A CAR","TORONTO, ON","M5V 3C7","WELLINGTON ST W","200 WELLINGTON ST W,TORONTO, ON,M5V 3C7",43.645944,-79.387904
"43","DRIVE-SELF RENTAL OWNER","ENTERPRISE RENT-A-CAR","TORONTO, ON","M5G 2C8","BAY ST","777 BAY ST,TORONTO, ON,M5G 2C8",43.6597907,-79.3849782
"44","HOLISTIC CENTRE","ELITA BEAUTY HEALTH DESIGN","TORONTO, ON","M4S 2M5","MOUNT PLEASANT RD","617 MOUNT PLEASANT RD,TORONTO, ON,M4S 2M5",43.70413768,-79.38836436
"45","HOLISTIC CENTRE","JASMINE SPA","TORONTO, ON","M5G 1H1","ELM ST","49 ELM ST,TORONTO, ON,M5G 1H1",43.65729,-79.383996
"46","HOLISTIC CENTRE","BAHN THAI SPA","TORONTO, ON","M5C 1K9","ADELAIDE ST E","136 ADELAIDE ST E,TORONTO, ON,M5C 1K9",43.6514793,-79.3735779
"47","HOLISTIC CENTRE","EVERGREEN BEAUTY AND WELLNESS CENTRE","TORONTO, ON","M5T 1G7","DUNDAS ST W","422 DUNDAS ST W,TORONTO, ON,M5T 1G7",43.653616,-79.3952676666667
"48","HOLISTIC CENTRE","SHIVAGA HEALTH AND WELLNESS","TORONTO, ON","M5T 2E9","SPADINA AVE","327 SPADINA AVE,TORONTO, ON,M5T 2E9",43.6545507,-79.3983966
"49","HOLISTIC CENTRE","JJ ELITE SPA","TORONTO, ON","M5S 1W5","BLOOR ST W","322 1/2 BLOOR ST W,TORONTO, ON,M5S 1W5",43.6534817,-79.3839347
"50","HOLISTIC CENTRE","SUMMER SUN SPA","TORONTO, ON","M5T 1G7","DUNDAS ST W","430 DUNDAS ST W,TORONTO, ON,M5T 1G7",43.653586,-79.395415
"51","HOLISTIC CENTRE","BAMBOO GARDEN HEALTH CENTRE","TORONTO, ON","M5T 1G7","DUNDAS ST W","424 DUNDAS ST W,TORONTO, ON,M5T 1G7",43.6536085,-79.3953045
"52","HOLISTIC CENTRE","HAPPY YORKVILLE FOOT SPA","TORONTO, ON","M5R 1B9","YORKVILLE AVE","70 YORKVILLE AVE,TORONTO, ON,M5R 1B9",43.6715217,-79.3908954668323
"53","HOLISTIC CENTRE","YLANG YLANG THAI SPA","TORONTO, ON","M5T 3B3","SPADINA AVE","222 SPADINA AVE,TORONTO, ON,M5T 3B3",43.6509933,-79.3977969
"54","HOLISTIC CENTRE","NASHA SPA.","TORONTO, ON","M5T 1G7","DUNDAS ST W","428 DUNDAS ST W,TORONTO, ON,M5T 1G7",43.6535935,-79.3953781666667
"55","HOLISTIC CENTRE","ZHEN ZHEN HEALTH CENTRE","TORONTO, ON","M5T 2E7","SPADINA AVE","326 SPADINA AVE,TORONTO, ON,M5T 2E7",43.6536559388889,-79.3986168611111
"56","HOLISTIC CENTRE","AMAZE WELLNESS CENTRE & SPA","TORONTO, ON","M5N 1B1","EGLINTON AVE W","525 EGLINTON AVE W,TORONTO, ON,M5N 1B1",43.7032429,-79.4138664698118
"57","HOLISTIC CENTRE","EASTERN BAY SPA","TORONTO, ON","M5R 1B8","YORKVILLE AVE","69 YORKVILLE AVE,TORONTO, ON,M5R 1B8",43.6710333,-79.3909519
"58","ADULT ENTERTAINMENT CLUB","ZANZIBAR CIRCUS TAVERN","TORONTO, ON","M5B 1S1","YONGE ST","359 YONGE ST,TORONTO, ON,M5B 1S1",43.6580739,-79.3814822
"59","PLACE OF AMUSEMENT","NET PLAZA CYBER CAFE","TORONTO, ON","M5T 1R6","COLLEGE ST","267 COLLEGE ST,TORONTO, ON,M5T 1R6",43.6576064,-79.3995305
"60","PLACE OF AMUSEMENT","RIPLEY'S AQUARIUM OF CANADA","TORONTO, ON","M5V 3L9","BREMNER BLVD","280 BREMNER BLVD,TORONTO, ON,M5V 3L9",43.6410381,-79.3874061
"61","PLACE OF AMUSEMENT","LEVELUP REALITY","TORONTO, ON","M5C 2G8","CHURCH ST","124 CHURCH ST,TORONTO, ON,M5C 2G8",43.6523151,-79.3755964
"62","PLACE OF AMUSEMENT","EEXIT YORKVILLE","TORONTO, ON","M5R 1B9","YORKVILLE AVE","70 YORKVILLE AVE,TORONTO, ON,M5R 1B9",43.6715217,-79.3908954668323
"63","PLACE OF AMUSEMENT","ESCAPE MANOR TORONTO","TORONTO, ON","M5V 1K1","KING ST W","383 KING ST W,TORONTO, ON,M5V 1K1",43.6456796,-79.3933435
"64","PLACE OF AMUSEMENT","LITTLE CANADA","TORONTO, ON","M5B 2G9","DUNDAS ST E","10 DUNDAS ST E,TORONTO, ON,M5B 2G9",43.6570352,-79.3804595895349
"65","PLACE OF AMUSEMENT","ENIGMA ESCAPE ROOM","TORONTO, ON","M5G 1C3","DUNDAS ST W","130 DUNDAS ST W,TORONTO, ON,M5G 1C3",43.6557636,-79.3845946
"66","BILLIARD HALL","HORSESHOE TAVERN","TORONTO, ON","M5V 2A2","QUEEN ST W","370 QUEEN ST W,TORONTO, ON,M5V 2A2",43.6490494,-79.395904
"67","BILLIARD HALL","ANNEX BILLIARDS CLUB","TORONTO, ON","M5S 1Y2","BLOOR ST W","507 BLOOR ST W,TORONTO, ON,M5S 1Y2",43.6655159,-79.4082527
"68","BILLIARD HALL","MR.8 BILLIARDS","TORONTO, ON","M5T 2G5","SPADINA AVE","388 SPADINA AVE,TORONTO, ON,M5T 2G5",43.6554413,-79.399342
"69","SMOKE SHOP","B SLEUTH & STATESMAN INC","TORONTO, ON","M5X 1A9","KING ST W","130 KING ST W,TORONTO, ON,M5X 1A9",43.64841795,-79.3832424528398
"70","SMOKE SHOP","GATEWAY NEWSTANDS","TORONTO, ON","M5K 1A1","WELLINGTON ST W","66 WELLINGTON ST W,TORONTO, ON,M5K 1A1",43.6472606,-79.3814529
"71","SMOKE SHOP","CHEERS SMOKE SHOP","TORONTO, ON","M5T 2W7","MCCAUL ST","85 MCCAUL ST,TORONTO, ON,M5T 2W7",43.6530943636364,-79.3908077272727
"72","RETAIL STORE (FOOD)","BROWN BROTHERS PURVEYORS LTD","TORONTO, ON","M5E 1C2","FRONT ST E","91 FRONT ST E,TORONTO, ON,M5E 1C2",43.649111,-79.37197
"73","RETAIL STORE (FOOD)","MIKE'S FISH MARKET","TORONTO, ON","M5E 1C3","FRONT ST E","93 FRONT ST E,TORONTO, ON,M5E 1C3",43.649213,-79.371735
"74","RETAIL STORE (FOOD)","DANIEL ET DANIEL CATERING INC","TORONTO, ON","M5A 2L1","CARLTON ST","248 CARLTON ST,TORONTO, ON,M5A 2L1",43.6643028,-79.3683679
"75","RETAIL STORE (FOOD)","ST LAWRENCE UPPERCUT MEAT PACKERS LTD","TORONTO, ON","M5E 1C3","FRONT ST E","91 FRONT ST E,TORONTO, ON,M5E 1C3",43.6490998,-79.3718809
"76","RETAIL STORE (FOOD)","SUN MING HONG (CANADA) LTD","TORONTO, ON","M5T 1G7","DUNDAS ST W","412 DUNDAS ST W,TORONTO, ON,M5T 1G7",43.6536535,-79.3950835
"77","RETAIL STORE (FOOD)","PONESSE FOODS LTD","TORONTO, ON","M5E 1C2","FRONT ST E","95 FRONT ST E,TORONTO, ON,M5E 1C2",43.6491228,-79.3718086
"78","RETAIL STORE (FOOD)","DOMINOS FOODS LTD","TORONTO, ON","M5E 1C3","FRONT ST E","93 FRONT ST E,TORONTO, ON,M5E 1C3",43.649213,-79.371735
"79","RETAIL STORE (FOOD)","THE KITCHEN TABLE","TORONTO, ON","M5V 2W8","KING ST W","705 KING ST W,TORONTO, ON,M5V 2W8",43.6434096,-79.4040401
"80","RETAIL STORE (FOOD)","PARLIAMENT PHARMACY","TORONTO, ON","M5A 2Z7","PARLIAMENT ST","402 PARLIAMENT ST,TORONTO, ON,M5A 2Z7",43.6616904,-79.367115
"81","RETAIL STORE (FOOD)","SUMMER'S SWEET MEMORIES","TORONTO, ON","M5R 1C1","YORKVILLE AVE","101 YORKVILLE AVE,TORONTO, ON,M5R 1C1",43.670822631579,-79.392261368421
"82","RETAIL STORE (FOOD)","VICTOR PHARMACY","TORONTO, ON","M5G 1E2","EDWARD ST","123 EDWARD ST,TORONTO, ON,M5G 1E2",43.6556316,-79.3870028
"83","RETAIL STORE (FOOD)","HEALTH SERVICE CENTRE","TORONTO, ON","M5A 3A3","PARLIAMENT ST","489 PARLIAMENT ST,TORONTO, ON,M5A 3A3",43.6643125,-79.367824
"84","RETAIL STORE (FOOD)","SUGAR & SPICE","TORONTO, ON","M5T 2M1","AUGUSTA AVE","265 AUGUSTA AVE,TORONTO, ON,M5T 2M1",43.6555931428571,-79.4022845428571
"85","RETAIL STORE (FOOD)","KENSINGTON FRUIT MARKET","TORONTO, ON","M5T 1K6","ST ANDREW ST","36 ST ANDREW ST,TORONTO, ON,M5T 1K6",43.654162,-79.400269
"86","RETAIL STORE (FOOD)","DAVENPORT PHARMACY","TORONTO, ON","M5R 1J3","DAVENPORT RD","219 DAVENPORT RD,TORONTO, ON,M5R 1J3",43.67473825,-79.3960385
"87","RETAIL STORE (FOOD)","KSTORE","TORONTO, ON","M5B 1M1","CARLTON ST","99 CARLTON ST,TORONTO, ON,M5B 1M1",43.6621763333333,-79.3773723333333
